,Type,CompanyName,ServiceType,ServiceTypeDetail,ListDate,FiscalMonth,CEO,Location,CompanyCode
일지테크,코스닥,일지테크,자동차 신품 부품 제조업,"차체(라지에타, 팩케이지, 씨트 크로스, 대쉬 판넬)",1992-11-03,12월,"구본일,구준모(각자대표)",경상북도,19540
한일화학,코스닥,한일화학,기초 화학물질 제조업,산화아연,1992-09-07,12월,대표이사 사장 윤성진,경기도,7770
한국알콜,코스닥,한국알콜,기타 화학제품 제조업,주정,1992-08-04,12월,"지용석,강성우,김정수,주성호",경기도,17890
대주산업,코스닥,대주산업,동물용 사료 및 조제식품 제조업,배합사료,1992-08-01,12월,"정은섭,김창종",서울특별시,3310
글로본,코스닥,글로본,상품 종합 도매업,벤처캐피탈,1992-06-04,12월,한상호,서울특별시,19660
대한해운,유가증권,대한해운,해상 운송업,"외항화물운송,국제해운대리점",1992-04-23,12월,김칠봉,서울특별시,5880
메리츠종금증권,유가증권,메리츠종금증권,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",1992-01-15,12월,최희문,서울특별시,8560
세명전기,코스닥,세명전기,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",1991-12-26,12월,"권재기, 권철현",부산광역시,17510
휴니드테크놀러지스,유가증권,휴니드테크놀러지스,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조",1991-09-03,12월,신종석,인천광역시,5870
수산중공업,유가증권,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,김병현,경기도,17550
에이티넘인베스트,코스닥,에이티넘인베스트,신탁업 및 집합투자업,벤처캐피탈,1991-07-12,12월,"신기천, 이승용(각자대표)",서울특별시,21080
롯데케미칼,유가증권,롯데케미칼,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,12월,"신동빈, 김교현, 임병연",서울특별시,11170
대동기어,코스닥,대동기어,특수 목적용 기계 제조업,"기어, 베벨기어, 축, 엑셀, T/M, 유성감속기, 기타조립품",1991-05-17,12월,이 우 태,경상남도,8830
세아베스틸,유가증권,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",1991-03-12,12월,"김철희, 박준두",서울특별시,1430
호텔신라,유가증권,호텔신라,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업",1991-03-12,12월,이부진,서울특별시,8770
백광소재,유가증권,백광소재,"시멘트, 석회, 플라스터 및 그 제품 제조업","생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영",1991-03-07,12월,문희철,서울특별시,14580
화승알앤에이,유가증권,화승알앤에이,자동차 신품 부품 제조업,"자동차용 고무제품(제조저압호스,고압호스,산업용고무호스,,WEATHER STIRP,고무판,콘베어벨트) 제조,판매,수출입",1991-02-22,12월,"현지호,이정두",경상남도,13520
신흥,유가증권,신흥,기계장비 및 관련 물품 도매업,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대",1991-02-08,12월,이용익,서울특별시,4080
화승인더스트리,유가증권,화승인더스트리,플라스틱제품 제조업,"포장용 합성수지 제조/신발,필름 판매/부동산 임대",1991-02-04,12월,대표이사 현석호,부산광역시,6060
