,Type,CompanyName,ServiceType,ServiceTypeDetail,ListDate,FiscalMonth,CEO,Location,CompanyCode
피에스케이,코스닥,피에스케이,특수 목적용 기계 제조업,"드라이 스트립, 드라이 클리닝",2019-05-10,12월,"박경수, 이경일",경기도,319660
엔에이치스팩14호,코스닥,엔에이치스팩14호,금융 지원 서비스업,기타 금융지원(SPAC),2019-05-08,12월,이준효,서울특별시,319400
SNK,코스닥,SNK,소프트웨어 개발 및 공급업,"IP 라이센스, 콘솔, 모바일 게임",2019-05-07,07월,"토야마 코이치, 갈지휘",일본,950180
한화에스비아이스팩,코스닥,한화에스비아이스팩,금융 지원 서비스업,기업인수합병,2019-05-03,12월,이준효,서울특별시,317320
하이제4호스팩,코스닥,하이제4호스팩,금융 지원 서비스업,기업인수합병,2019-04-29,12월,정종석,서울특별시,317240
이노벡스,코넥스,이노벡스,전자부품 제조업,"TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",2019-04-12,12월,채균,경기도,279060
아모그린텍,코스닥,아모그린텍,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,2019-03-29,12월,양성철,경기도,125210
현대오토에버,유가증권,현대오토에버,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,오일석,서울특별시,307950
지노믹트리,코스닥,지노믹트리,의료용품 및 기타 의약 관련제품 제조업,암 조기진단 제품,2019-03-27,12월,안성환,대전광역시,228760
케이비17호스팩,코스닥,케이비17호스팩,금융 지원 서비스업,금융사업지원서비스,2019-03-27,12월,김정효,서울특별시,317030
이지케어텍,코스닥,이지케어텍,소프트웨어 개발 및 공급업,의료정보시스템,2019-03-22,03월,위원량,서울특별시,99750
유안타제4호스팩,코스닥,유안타제4호스팩,금융 지원 서비스업,기업인수합병,2019-03-21,12월,신기철,서울특별시,313750
미래에셋벤처투자,코스닥,미래에셋벤처투자,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,김응석,경기도,100790
드림텍,유가증권,드림텍,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,김형민,경기도,192650
더블유게임즈,유가증권,더블유게임즈,소프트웨어 개발 및 공급업,온라인 게임,2019-03-12,12월,김가람,서울특별시,192080
에코프로비엠,코스닥,에코프로비엠,일차전지 및 축전지 제조업,양극활물질,2019-03-05,12월,권우석,충청북도,247540
셀리드,코스닥,셀리드,자연과학 및 공학 연구개발업,항암면역치료백신,2019-02-20,12월,강창율,서울특별시,299660
우리금융지주,유가증권,우리금융지주,기타 금융업,금융지주,2019-02-13,12월,손태승,서울특별시,316140
천보,코스닥,천보,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재",2019-02-11,12월,이상율,충청북도,278280
이노테라피,코스닥,이노테라피,자연과학 및 공학 연구개발업,"의료용지혈제, 밀폐제 및 접착제",2019-02-01,12월,이문수,서울특별시,246960
노랑풍선,코스닥,노랑풍선,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매",2019-01-30,12월,김인중,서울특별시,104620
웹케시,코스닥,웹케시,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스",2019-01-25,12월,윤완수,서울특별시,53580
엘에이티,코넥스,엘에이티,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",2018-12-28,12월,박강일,경기도,311060
대원모방,코넥스,대원모방,직물직조 및 직물제품 제조업,"섬유, 모방",2018-12-27,12월,김석만,충청북도,311840
에어부산,유가증권,에어부산,항공 여객 운송업,항공 여객 및 화물 운송,2018-12-27,12월,한태근,부산광역시,298690
비피도,코스닥,비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,지근억,강원도,238200
지놈앤컴퍼니,코넥스,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,생체유익균 치료제/건강기능식품/화장품,2018-12-26,12월,배지수,경기도,314130
키움제5호스팩,코스닥,키움제5호스팩,금융 지원 서비스업,기업인수합병,2018-12-26,12월,김학균,서울특별시,311270
엔에이치스팩13호,코스닥,엔에이치스팩13호,금융 지원 서비스업,기업인수합병,2018-12-24,12월,강옥구,서울특별시,310840
유틸렉스,코스닥,유틸렉스,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제",2018-12-24,12월,권병세,서울특별시,263050
디케이티,코스닥,디케이티,전자부품 제조업,스마트폰용 FPCA,2018-12-21,12월,최남채,인천광역시,290550
미래에셋대우스팩2호,코스닥,미래에셋대우스팩2호,금융 지원 서비스업,기업인수합병,2018-12-21,12월,박광열,서울특별시,310200
신영스팩4호,코스닥,신영스팩4호,금융 지원 서비스업,기업인수,2018-12-21,12월,손혁,서울특별시,307180
테크엔,코넥스,테크엔,전구 및 조명장치 제조업,LED조명장치,2018-12-21,12월,이영섭,대구광역시,308700
삼성머스트스팩3호,코스닥,삼성머스트스팩3호,금융 지원 서비스업,기업인수합병,2018-12-20,12월,이일근,서울특별시,309930
위지윅스튜디오,코스닥,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",2018-12-20,12월,"박관우, 박인규",서울특별시,299900
한국제8호스팩,코스닥,한국제8호스팩,금융 지원 서비스업,기업인수 및 합병,2018-12-20,12월,진성태,서울특별시,310870
대신밸런스제6호스팩,코스닥,대신밸런스제6호스팩,금융 지원 서비스업,기업 인수 및 합병,2018-12-19,12월,장우철,서울특별시,307750
에이비엘바이오,코스닥,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,항체의약품 연구개발,2018-12-19,12월,이상훈,경기도,298380
프로테옴텍,코넥스,프로테옴텍,의료용품 및 기타 의약 관련제품 제조업,"알러지진단키트, 임신진단테스트기, 면역진단키트",2018-12-19,12월,임국진,서울특별시,303360
머큐리,코스닥,머큐리,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,임채병,인천광역시,100590
전진바이오팜,코스닥,전진바이오팜,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",2018-12-14,12월,이태훈,대구광역시,110020
뉴트리,코스닥,뉴트리,기타 식품 제조업,"에버콜라겐, 판도라 다이어트 등",2018-12-13,12월,김도언,경기도,270870
골든브릿지이안5호,코스닥,골든브릿지이안5호,금융 지원 서비스업,기업인수합병,2018-12-12,12월,이지연,서울특별시,307870
이노메트리,코스닥,이노메트리,특수 목적용 기계 제조업,엑스레이검사 장비,2018-12-12,12월,김준보,경기도,302430
SK4호스팩,코스닥,SK4호스팩,금융 지원 서비스업,기업인수합병,2018-12-07,12월,박신규,서울특별시,307070
대유에이피,코스닥,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,이석근,전라북도,290120
교보8호스팩,코스닥,교보8호스팩,금융 지원 서비스업,기업인수합병,2018-12-05,12월,조윤상,서울특별시,307280
에코캡,코스닥,에코캡,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",2018-12-05,12월,최영천,울산광역시,128540
베스파,코스닥,베스파,소프트웨어 개발 및 공급업,모바일게임,2018-12-03,12월,김진수,서울특별시,299910
비엔에프코퍼레이션,코넥스,비엔에프코퍼레이션,1차 비철금속 제조업,"솔더바, 솔더와이어, 솔더페이스트",2018-11-30,12월,하재준,인천광역시,271780
윙입푸드,코스닥,윙입푸드,기타 금융업,육가공 제품,2018-11-30,12월,왕현도,홍콩,900340
하나머스트제6호스팩,코스닥,하나머스트제6호스팩,금융 지원 서비스업,기업인수합병,2018-11-30,12월,류제일,서울특별시,307160
남화산업,코스닥,남화산업,스포츠 서비스업,골프장 서비스,2018-11-29,12월,최재훈,전라남도,111710
엠아이텍,코스닥,엠아이텍,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,2018-11-29,12월,박진형,경기도,179290
티로보틱스,코스닥,티로보틱스,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",2018-11-29,12월,안승욱,경기도,117730
네오펙트,코스닥,네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,2018-11-28,12월,반호영,경기도,290660
에이펙스인텍,코넥스,에이펙스인텍,전구 및 조명장치 제조업,LED조명장치 등,2018-11-28,12월,김권진,경상북도,207490
티앤알바이오팹,코스닥,티앤알바이오팹,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",2018-11-28,12월,윤원수,경기도,246710
나라소프트,코넥스,나라소프트,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",2018-11-23,12월,김호상,서울특별시,288490
아시아나IDT,유가증권,아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,12월,박세창,서울특별시,267850
디알젬,코스닥,디알젬,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018-11-22,12월,박정병,경기도,263690
싸이토젠,코스닥,싸이토젠,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼,2018-11-22,12월,전병희,서울특별시,217330
아주IB투자,코스닥,아주IB투자,기타 금융업,,2018-11-21,12월,김지원,서울특별시,27360
파멥신,코스닥,파멥신,의약품 제조업,항체치료제,2018-11-21,12월,유진산,대전광역시,208340
디케이앤디,코스닥,디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포,2018-11-20,12월,최민석,경기도,263020
아이엘사이언스,코넥스,아이엘사이언스,전구 및 조명장치 제조업,"LED조명, LED용 실리콘렌즈",2018-11-16,12월,송성근,경기도,122050
디자인,코스닥,디자인,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",스마트 액세서리(보조배터리 등),2018-11-15,12월,성재원,서울특별시,227100
노바렉스,코스닥,노바렉스,기타 식품 제조업,건강기능식품 제조,2018-11-14,12월,권석형,충청북도,194700
셀리버리,코스닥,셀리버리,자연과학 및 공학 연구개발업,바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약,2018-11-09,12월,조대웅,서울특별시,268600
대보마그네틱,코스닥,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018-11-06,12월,이준각,경기도,290670
노바텍,코스닥,노바텍,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",2018-11-02,12월,오춘택,경기도,285490
엘앤씨바이오,코스닥,엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)",2018-11-01,12월,이환철,경기도,290650
DB금융스팩6호,코스닥,DB금융스팩6호,금융 지원 서비스업,기업인수합병,2018-10-31,12월,김창희,서울특별시,306620
로보티즈,코스닥,로보티즈,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",2018-10-26,12월,김병수,서울특별시,108490
옵티팜,코스닥,옵티팜,의료용품 및 기타 의약 관련제품 제조업,"옵티케어, 메디피그 등",2018-10-26,12월,"한성준, 김현일",충청북도,153710
에스퓨얼셀,코스닥,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2018-10-15,12월,전희권,경기도,288620
세아제강,유가증권,세아제강,1차 철강 제조업,강관,2018-10-05,12월,"이휘령, 김석일",서울특별시,306200
나우아이비캐피탈,코스닥,나우아이비캐피탈,기타 금융업,"투자조합, PEF 결성 및 투자",2018-10-04,12월,이승원,서울특별시,293580
푸드나무,코스닥,푸드나무,무점포 소매업,,2018-10-04,12월,김영문,서울특별시,290720
하나제약,유가증권,하나제약,의약품 제조업,완제의약품,2018-10-02,12월,이윤하,경기도,293480
크리스에프앤씨,코스닥,크리스에프앤씨,봉제의복 제조업,골프웨어,2018-10-01,12월,우진석,서울특별시,110790
IBKS제10호스팩,코스닥,IBKS제10호스팩,금융 지원 서비스업,기업인수합병,2018-09-21,12월,권인호,서울특별시,299170
지티지웰니스,코스닥,지티지웰니스,의료용 기기 제조업,의료기기 및 미용기기,2018-09-21,12월,김태현,경기도,219750
우진아이엔에스,유가증권,우진아이엔에스,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14,12월,홍평우,서울특별시,10400
명성티엔에스,코스닥,명성티엔에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018-09-13,12월,권태욱,대구광역시,257370
삼성스팩2호,코스닥,삼성스팩2호,금융 지원 서비스업,기업인수합병,2018-09-13,12월,임동현,서울특별시,291230
엔솔바이오사이언스,코넥스,엔솔바이오사이언스,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",2018-09-10,12월,김해진,대전광역시,140610
디지캡,코스닥,디지캡,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등",2018-09-07,12월,한승우,서울특별시,197140
대신밸런스제5호스팩,코스닥,대신밸런스제5호스팩,금융 지원 서비스업,기업 인수 및 합병,2018-08-30,12월,한여선,서울특별시,303030
액트로,코스닥,액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,2018-08-28,12월,하동길,경기도,290740
오파스넷,코스닥,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수,2018-08-24,12월,장수현,서울특별시,173130
에이피티씨,코스닥,에이피티씨,특수 목적용 기계 제조업,300mm Poly Etch System,2018-08-23,12월,최우형,경기도,89970
바이오솔루션,코스닥,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등",2018-08-20,12월,윤정현 이정선(각자대표),서울특별시,86820
리메드,코넥스,리메드,의료용 기기 제조업,자기장 치료기기,2018-08-14,12월,이근용,대전광역시,302550
더콘텐츠온,코넥스,더콘텐츠온,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",2018-08-13,12월,김상윤,서울특별시,302920
대유,코스닥,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",2018-08-10,12월,권성한,서울특별시,290380
엔케이맥스,코넥스,엔케이맥스,의약품 제조업,NK세포치료제,2018-08-09,12월,조용환,경기도,262760
신한알파리츠,유가증권,신한알파리츠,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,2018-08-08,03월,이준구,서울특별시,293940
디아이티,코스닥,디아이티,특수 목적용 기계 제조업,평판디스플레이 검사장비,2018-08-07,12월,박종철,경기도,110990
에스에스알,코스닥,에스에스알,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",2018-08-06,12월,"윤두식, 정진석",서울특별시,275630
한일시멘트,유가증권,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,12월,곽의영,서울특별시,300720
휴네시온,코스닥,휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),2018-08-02,12월,정동섭,서울특별시,290270
티웨이항공,유가증권,티웨이항공,항공 여객 운송업,저가 항공운송,2018-08-01,12월,정홍근,서울특별시,91810
롯데정보통신,유가증권,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,12월,마용득,서울특별시,286940
한국유니온제약,코스닥,한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",2018-07-26,12월,백병하,강원도,80720
엠코르셋,코스닥,엠코르셋,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",2018-07-23,12월,"문영우, 김계현 (각자대표)",서울특별시,204020
IBKS제9호스팩,코스닥,IBKS제9호스팩,금융 지원 서비스업,,2018-07-20,12월,박지웅,서울특별시,297570
올릭스,코스닥,올릭스,자연과학 및 공학 연구개발업,siRNA 신약 개발,2018-07-18,12월,이동기,경기도,226950
테크트랜스,코넥스,테크트랜스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,유재용,경상북도,258050
효성중공업,유가증권,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,김동우/요코타 타케시,서울특별시,298040
효성첨단소재,유가증권,효성첨단소재,화학섬유 제조업,PET타이어코드,2018-07-13,12월,황정모,서울특별시,298050
효성티앤씨,유가증권,효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13,12월,김용섭,서울특별시,298020
효성화학,유가증권,효성화학,기초 화학물질 제조업,-,2018-07-13,12월,박준형,서울특별시,298000
아이큐어,코스닥,아이큐어,의약품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",2018-07-12,12월,최영권,서울특별시,175250
SV인베스트먼트,코스닥,SV인베스트먼트,기타 금융업,중소/벤처기업 투자 및 육성,2018-07-06,03월,"박성호, 이장원",서울특별시,289080
엘리비젼,코넥스,엘리비젼,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2018-07-05,12월,안덕근,인천광역시,276240
지앤이헬스케어,코넥스,지앤이헬스케어,기타 섬유제품 제조업,면생리대,2018-06-29,12월,장영민,경기도,299480
이리츠코크렙,유가증권,이리츠코크렙,부동산 임대 및 공급업,부동산투자회사,2018-06-27,06월,진수경,서울특별시,88260
EDGC,코스닥,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"이민섭, 신상철",인천광역시,245620
에스엠비나,코넥스,에스엠비나,봉제의복 제조업,여성의류,2018-06-25,12월,윤동률,서울특별시,299670
HDC현대산업개발,유가증권,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"김대철,권순호",서울특별시,294870
하나금융11호스팩,코스닥,하나금융11호스팩,금융 지원 서비스업,기업인수합병,2018-06-08,12월,남강욱,서울특별시,284620
파워넷,코스닥,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2018-06-07,12월,"김상우, 양승환",서울특별시,37030
현대사료,코스닥,현대사료,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료",2018-06-01,12월,문철명,충청남도,16790
세종메디칼,코스닥,세종메디칼,의료용 기기 제조업,복강경수술용 투관침 등,2018-05-29,12월,정현국,경기도,258830
제노레이,코스닥,제노레이,의료용 기기 제조업,의료용 방사선 진단기기,2018-05-28,12월,박병욱,경기도,122310
디피코,코넥스,디피코,"건축기술, 엔지니어링 및 관련 기술 서비스업","자동차 엔지니어링 서비스, 의료용 전동스쿠터 등",2018-05-16,12월,송신근,경기도,163430
한국제7호스팩,코스닥,한국제7호스팩,금융 지원 서비스업,기업인수합병,2018-05-11,12월,유세현,서울특별시,291210
다이노나,코넥스,다이노나,자연과학 및 공학 연구개발업,항체치료제,2018-05-08,12월,송형근,서울특별시,86080
유안타제3호스팩,코스닥,유안타제3호스팩,금융 지원 서비스업,인수합병,2018-05-08,12월,김종환,서울특별시,287410
에스제이켐,코넥스,에스제이켐,기초 화학물질 제조업,"수처리응집제, 폴리프로필렌",2018-04-27,12월,배동수,전라북도,217910
JTC,코스닥,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,구철모,일본,950170
네오셈,코스닥,네오셈,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 검사장비,2018-04-04,12월,염동현,경기도,253590
위세아이텍,코넥스,위세아이텍,소프트웨어 개발 및 공급업,"WISE Intelligence, WISE DQ, WISE Prophet 등",2018-04-02,12월,김종현,경기도,65370
케어랩스,코스닥,케어랩스,소프트웨어 개발 및 공급업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",2018-03-28,12월,"김동수, 박경득",서울특별시,263700
애경산업,유가증권,애경산업,기타 화학제품 제조업,"Age 20's,루나,  트리오, 2080치약, 순샘, 제트 등",2018-03-22,12월,"채동석, 이윤규",서울특별시,18250
에코마이스터,코스닥,에코마이스터,특수 목적용 기계 제조업,SAP,2018-03-15,12월,오상윤,인천광역시,64510
린드먼아시아,코스닥,린드먼아시아,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자",2018-03-14,12월,김진하,서울특별시,277070
오스테오닉,코스닥,오스테오닉,의료용 기기 제조업,골접합 및 재건용 금속소재 및 생분해성 복합소재 기반 임플란트,2018-02-22,12월,이동원,서울특별시,226400
엔지켐생명과학,코스닥,엔지켐생명과학,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품",2018-02-21,12월,손기영,충청북도,183490
동구바이오제약,코스닥,동구바이오제약,의약품 제조업,"피부, 비뇨기과 완제의약품",2018-02-13,12월,조용준,서울특별시,6620
아시아종묘,코스닥,아시아종묘,작물 재배업,종자,2018-02-12,09월,류경오,서울특별시,154030
알리코제약,코스닥,알리코제약,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,2018-02-12,12월,최재희,서울특별시,260660
셀트리온,유가증권,셀트리온,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,기우성,인천광역시,68270
카페24,코스닥,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","쇼핑몰솔루션, 광고솔루션, 호스팅솔루션",2018-02-08,12월,이재석,서울특별시,42000
링크제니시스,코스닥,링크제니시스,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)",2018-02-05,12월,정성우,경기도,219420
배럴,코스닥,배럴,봉제의복 제조업,래쉬가드 및 워터스포츠 등,2018-02-01,12월,"이상훈, 서종환",서울특별시,267790
SG,코스닥,SG,기타 비금속 광물제품 제조업,"아스콘, 레미콘",2018-01-26,12월,박창호,인천광역시,255220
씨앤지하이테크,코스닥,씨앤지하이테크,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",2018-01-25,12월,홍사문,경기도,264660
쿠쿠홈시스,유가증권,쿠쿠홈시스,개인 및 가정용품 임대업,"정수기, 공기청정기 등",2018-01-11,12월,구본학,경기도,284740
SK케미칼,유가증권,SK케미칼,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2018-01-05,12월,"김철, 전광현",경기도,285130
시스웍,코스닥,시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등",2017-12-26,12월,김형철,대전광역시,269620
TS트릴리온,코넥스,TS트릴리온,기타 화학제품 제조업,탈모 샴푸 및 헤어케어 제품 등,2017-12-22,12월,장기영,서울특별시,284610
라이프사이언스테크놀로지,코넥스,라이프사이언스테크놀로지,소프트웨어 개발 및 공급업,생체신호모듈 및 패치형 체온 측정시스템 등,2017-12-21,12월,김정환,서울특별시,285770
한국제6호스팩,코스닥,한국제6호스팩,금융 지원 서비스업,기업인수합병,2017-12-21,12월,김동학,서울특별시,281410
디바이스이엔지,코스닥,디바이스이엔지,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비,2017-12-20,12월,최봉진,충청남도,187870
바이오시네틱스,코넥스,바이오시네틱스,자연과학 및 공학 연구개발업,"나노의약품 및 소재, 약물전달시스템(DDS)",2017-12-15,12월,김갑식,서울특별시,281310
씨알푸드,코넥스,씨알푸드,"곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바",2017-12-14,12월,이상범,충청북도,236030
동부스팩5호,코스닥,동부스팩5호,금융 지원 서비스업,기업인수합병,2017-12-12,12월,김성익,서울특별시,281740
휴럼,코넥스,휴럼,기타 식품 제조업,"건강기능식품, 유산균 관련 제품",2017-12-12,12월,김진석,서울특별시,284420
BGF리테일,유가증권,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,박재구,서울특별시,282330
동양피스톤,유가증권,동양피스톤,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤,2017-12-08,12월,홍순겸,경기도,92780
진에어,유가증권,진에어,항공 여객 운송업,"여객, 화물 등 항공운송",2017-12-08,12월,최정호,서울특별시,272450
씨티케이코스메틱스,코스닥,씨티케이코스메틱스,기타 화학제품 제조업,완제 화장품 (색조 및 기초),2017-12-07,12월,정인용,경기도,260930
메카로,코스닥,메카로,기타 화학제품 제조업,반도체용 전구체 및 히터블록,2017-12-06,12월,이재정,경기도,241770
에스트래픽,코스닥,에스트래픽,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","교통관련 솔루션 개발, 시스템통합 S/W 개발",2017-12-05,12월,문찬종,경기도,234300
케이씨텍,유가증권,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",2017-12-05,12월,"최동규, 임관택 (각자 대표이사)",경기도,281820
체리부로,코스닥,체리부로,"도축, 육류 가공 및 저장 처리업","육계, 사료",2017-12-04,12월,김인식,충청북도,66360
대원,코스닥,대원,건물 건설업,아파트 시행 및 시공,2017-12-01,12월,전응식,충청북도,7680
비즈니스온,코스닥,비즈니스온,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌),2017-11-30,12월,윤호권,서울특별시,138580
동아타이어,유가증권,동아타이어,고무제품 제조업,타이어 및 튜브,2017-11-29,12월,"김만수, 김상헌",경상남도,282690
삼양패키징,유가증권,삼양패키징,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,2017-11-29,12월,이경섭,서울특별시,272550
한화에이스스팩4호,코스닥,한화에이스스팩4호,금융 지원 서비스업,기업인수합병,2017-11-27,12월,박재석,서울특별시,279410
스튜디오드래곤,코스닥,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매",2017-11-24,12월,최진희,서울특별시,253450
IBKS제7호스팩,코스닥,IBKS제7호스팩,금융 지원 서비스업,기업인수목적,2017-11-10,12월,문대우,서울특별시,276920
미디어젠,코넥스,미디어젠,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발,2017-11-10,12월,고훈,경기도,279600
비디아이,코스닥,비디아이,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",2017-11-09,12월,예경남,경기도,148140
코오롱티슈진,코스닥,코오롱티슈진,기초 의약물질 및 생물학적 제제 제조업,골관절염 치료제,2017-11-06,12월,"이우석, 노문종",미국,950160
테이팩스,유가증권,테이팩스,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",2017-10-31,12월,심병섭,경기도,55490
파인이엠텍,코넥스,파인이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","차량용 AVN, 휴대폰 액세서리",2017-10-31,12월,"홍성천, 홍지태",경기도,278990
롯데제과,유가증권,롯데제과,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과",2017-10-30,12월,"신동빈, 이영호, 민명기",서울특별시,280360
티에스아이,코넥스,티에스아이,특수 목적용 기계 제조업,2차전지 Mixing System,2017-10-30,12월,표인식,경기도,277880
탑선,코넥스,탑선,기타 전기장비 제조업,태양광 모듈,2017-10-27,12월,윤정택,전라남도,180060
영화테크,코스닥,영화테크,자동차 신품 부품 제조업,자동차 정션박스 등,2017-10-26,12월,엄준형,충청남도,265560
세원,코스닥,세원,자동차 신품 부품 제조업,자동차 공조장치 부품,2017-10-20,12월,염승섭,경기도,234100
신한제4호스팩,코스닥,신한제4호스팩,금융 지원 서비스업,기업 인수 합병,2017-10-20,12월,이원배,서울특별시,277480
